Site,Time,Date,Traffic passenger,Traffic Bike,Traffic truck,Temp,Humidity,Wind,Volume,# Observers,# Bee observers,Researcher names,Plant Species floral units count
DP1,13:50:00,15/05/25,,,,17,71.4,1.6,,2,2,"Andrew, Audrey",
DP1,14:00:00,15/05/25,,,,19.4,73.5,1.7,,2,2,"Andrew, Audrey",
DP1,14:10:00,15/05/25,,,,17.8,72,1.5,,2,2,"Andrew, Audrey",
DP1 Mean,13:40-14:10,15/05/25,,,,18.06667,72.3,1.6,,2,2,"Andrew, Audrey",
DP1 Total,13:40-14:10,15/05/25,,,,,,,,,,"Andrew, Audrey",
DN1,16:10:00,15/05/25,133,,,21.6,60.7,0.6,,2,1,"Andrew, Audrey",
DN1,16:20:00,15/05/25,121,,,19.5,61.8,0.8,,2,1,"Andrew, Audrey",
DN1,16:30:00,15/05/25,155,,,19.8,61,0.4,,2,1,"Andrew, Audrey",
DN1 Mean,16:00-16:30,15/05/25,136.3333,,,20.3,61.16667,0.6,,2,1,"Andrew, Audrey",
DN1 Total,16:00-16:30,15/05/25,409,,,,,,,,,"Andrew, Audrey",
DT1,16:50:00,15/05/25,157,,,20.4,55.6,0.6,,2,1,"Andrew, Audrey",
DT1,17:00:00,15/05/25,157,,,22.8,58.1,0.5,,2,1,"Andrew, Audrey",
DT1,17:10:00,15/05/25,151,,,23.7,53.8,0.1,,2,1,"Andrew, Audrey",
DT1 Mean,16:40-17:10,15/05/25,155,,,22.3,55.83333,0.4,,2,1,"Andrew, Audrey",
DT1 Total,16:40-17:10,15/05/25,465,,,,,,,,,"Andrew, Audrey",
DT2,12:33:00,16/05/25,31,,,21.6,63,0.9,,2,1,"Audrey, Nevadha",
DT2,12:43:00,16/05/25,45,,,22.9,64.6,1,,2,1,"Audrey, Nevadha",
DT2,12:53:00,16/05/25,31,,,20.1,64.9,2.4,,2,1,"Audrey, Nevadha",
DT2 M/S,12:23-12:53,16/05/25,35.66667,,,21.5,64.16667,1.43333,,2,1,"Audrey, Nevadha",
DT2 Total,12:23-12:53,16/05/25,107,,,,,,,,,"Audrey, Nevadha",
DN2,13:27:00,16/05/25,27,,,19.5,65,2,,2,1,"Audrey, Nevadha",
DN2,13:37:00,16/05/25,35,,,19.7,63.7,2.7,,2,1,"Audrey, Nevadha",
DN2,13:47:00,16/05/25,40,,,19.9,65.9,2.7,,2,1,"Audrey, Nevadha",
DN2 M/S,13:17-13:47,16/05/25,34,,,,64.86667,2.46667,,2,1,"Audrey, Nevadha",
DN2 Total,13:17-13:47,16/05/25,102,,,,,,,,,"Audrey, Nevadha",
DT3,15:34:00,16/05/25,26,,,28.2,32.4,0.3,,2,1,"Audrey, Nevadha",
DT3,15:44:00,16/05/25,22,,,27.9,35.9,0.4,,2,1,"Audrey, Nevadha",
DT3,15:54:00,16/05/25,12,,,31.4,28.7,0,,2,1,"Audrey, Nevadha",
DT3 M/S,15:24-15:54,16/05/25,,,,29.16667,32.4,0.233333,,2,1,"Audrey, Nevadha",
DT3 Total,15:24-15:54,16/05/25,60,,,,,,,,,"Audrey, Nevadha",
DN3,16:13:00,16/05/25,16,,,25.4,36.9,3.4,,2,1,"Audrey, Nevadha",
DN3,16:23:00,16/05/25,30,,,25.6,37.4,0.2,,2,1,"Audrey, Nevadha",
DN3,16:33:00,16/05/25,20,,,25.6,34.4,2.5,,2,1,"Audrey, Nevadha",
DN3 M/S,16:03-16:33,16/05/25,,,,25.53333,36.23333,2.03333,,2,1,"Audrey, Nevadha",
DN3 Total,16:03-16:33,16/05/25,66,,,,,,,,,"Audrey, Nevadha",
WT1,11:32:00,26/05/25,2,0,,19.3,48.9,2,,3,2,"Audrey, Kajal, Nevadha",
WT1,11:42:00,26/05/25,3,0,,22.3,42.2,0.6,,3,2,"Audrey, Kajal, Nevadha",
WT1,11:52:00,26/05/25,3,1,,20.2,49.6,1.8,,3,2,"Audrey, Kajal, Nevadha",
WT1 Mean,11:22-11:52,26/05/25,2.666667,0.3333333,, 23.3,46.9,1.466667,,3,2,"Audrey, Kajal, Nevadha",
WT1 Total,11:22-11:52,26/05/25,8,1,,,,,,,,"Audrey, Kajal, Nevadha",
WN1,12:20:00,26/05/25,5,0,,23.9,32.8,0.2,,3,2,"Audrey, Kajal, Nevadha",
WN1,12:30:00,26/05/25,8,0,,23.6,31.5,1.4,,3,2,"Audrey, Kajal, Nevadha",
WN1,12:40:00,26/05/25,4,0,,28.3,31.6,0.2,,3,2,"Audrey, Kajal, Nevadha",
WN1 Mean,12:20-12:40,26/05/25,5.666667,0,,25.26667,31.96667,0.6,,3,2,"Audrey, Kajal, Nevadha",
WN1 Total,12:20-12:40,26/05/25,17,1,,,,,,,,"Audrey, Kajal, Nevadha",
WP1,14:32:00,26/05/25,0,0,,25.6,41,0,,3,3,"Audrey, Kajal, Nevadha",
WP1,14:42:00,26/05/25,0,0,,21.3,40.2,0.4,,3,3,"Audrey, Kajal, Nevadha",
WP1,14:52:00,26/05/25,0,0,,21.1,50.3,0,,3,3,"Audrey, Kajal, Nevadha",
WP1 Mean,14:22-14:52,26/05/25,0,0,,22.66667,43.83333,0.1333333,,3,3,"Audrey, Kajal, Nevadha",
WP1 Total,14:22-14:52,26/05/25,0,0,,,,,,3,3,"Audrey, Kajal, Nevadha",
WPN1,15:32:00,26/05/25,0,0,,22.2,49.1,0,,3,3,"Audrey, Kajal, Nevadha",
WPN1,15:42:00,26/05/25,0,0,,19.6,40.2,0,,3,3,"Audrey, Kajal, Nevadha",
WPN1,15:52:00,26/05/25,0,0,,19,50.3,0,,3,3,"Audrey, Kajal, Nevadha",
WPN1 Mean,15:22-15:52,26/05/25,0,0,,20.26667,46.53333,0.1333333,,3,3,"Audrey, Kajal, Nevadha",
WPN1 Total,15:22-15:52,26/05/25,0,0,,,,,,,,"Audrey, Kajal, Nevadha",
GT1,09:45:00,27/05/25,3,2,,18.6,49.1,0,,3,2,"Andrew, Audrey, Nevadha",
GT1,09:55:00,27/05/25,1,0,,18.1,56.6,0,,3,2,"Andrew, Audrey, Nevadha",
GT1,10:05:00,27/05/25,3,0,,19.1,56.3,0.1,,3,2,"Andrew, Audrey, Nevadha",
GT1 Mean,09:35-10:05,27/05/25,,,,,,,,3,2,"Andrew, Audrey, Nevadha",
GT1 Total,09:35-10:05,27/05/25,7,2,,,,,,3,2,"Andrew, Audrey, Nevadha",
GN1,10:41:00,27/05/25,2,0,,19.1,46.5,0.6,,3,2,"Andrew, Audrey, Nevadha",
GN1,10:51:00,27/05/25,0,0,,23.8,47.2,0.2,,3,2,"Andrew, Audrey, Nevadha",
GN1,11:01:00,27/05/25,2,1,,18.7,45.6,0.5,,3,2,"Andrew, Audrey, Nevadha",
GN1 Mean,10:31-11:01,27/05/25,,,,,,,,3,2,"Andrew, Audrey, Nevadha",
GN1 Total,10:31-11:01,27/05/25,4,1,,,,,,3,2,"Andrew, Audrey, Nevadha",
GP1,13:23:00,27/05/25,na,na,na,17.9,43.8,0.1,,3,3,"Andrew, Audrey, Nevadha",
GP1,13:33:00,27/05/25,na,na,na,19.3,41.7,0.4,,3,3,"Andrew, Audrey, Nevadha",
GP1,13:43:00,27/05/25,na,na,na,21.2,36.9,0,,3,3,"Andrew, Audrey, Nevadha",
GP1 Mean,13:13-13:43,27/05/25,na,na,na,,,,,3,3,"Andrew, Audrey, Nevadha",
GP1 Total,13:13-13:43,27/05/25,,,,,,,,,,"Andrew, Audrey, Nevadha",
GT2,14:30:00,27/05/25,3,0,,19.7,33.9,0.7,,3,2,"Andrew, Audrey, Nevadha",
GT2,14:40:00,27/05/25,1,1,,21.8,34.5,0,,3,2,"Andrew, Audrey, Nevadha",
GT2,14:50:00,27/05/25,0,0,,21.7,36.3,0,,3,2,"Andrew, Audrey, Nevadha",
GT2 Mean,14:20-14:50,27/05/25,,,,,,,,3,2,"Andrew, Audrey, Nevadha",
GT2 Total,14:20-14:50,27/05/25,4,1,,,,,,3,2,"Andrew, Audrey, Nevadha",
GN2,15:15:00,27/05/25,4,0,,19.4,40.1,0,,3,2,"Andrew, Audrey, Nevadha",
GN2,15:25:00,27/05/25,3,0,,20.4,42.6,0,,3,2,"Andrew, Audrey, Nevadha",
GN2,15:35:00,27/05/25,0,0,,19.9,41.9,0,,3,2,"Andrew, Audrey, Nevadha",
GN2 Mean,15:05-15:35,27/05/25,,0,,,,0,,3,2,"Andrew, Audrey, Nevadha",
GN2 Total,15:05-15:35,27/05/25,7,0,,,,,,3,2,"Andrew, Audrey, Nevadha",
WT2,12:38:00,30/5/25,57,1,,22.4,39.2,1.4,,3,2,"Andrew, Audrey, Fatemeh",
WT2,12:48:00,30/5/25,73,1,,24.3,34.3,0,,3,2,"Andrew, Audrey, Fatemeh",
WT2,12:58:00,30/5/25,38,0,,24.1,35.1,0.7,,3,2,"Andrew, Audrey, Fatemeh",
WT2 Mean,12:28-12:58,30/5/25,,,,,,,,3,2,"Andrew, Audrey, Fatemeh",
WT2 Total,12:28-12:58,30/5/25,,,,,,,,3,2,"Andrew, Audrey, Fatemeh",
WN2,14:07:00,30/5/25,77,0,,29.1,28.7,0.2,,3,2,"Andrew, Audrey, Fatemeh",
WN2,14:17:00,30/5/25,50,0,,27.2,24.1,1.3,,3,2,"Andrew, Audrey, Fatemeh",
WN2,14:27:00,30/5/25,48,1,,24.4,31.6,1.8,,3,2,"Andrew, Audrey, Fatemeh",
WN2 Mean,13:57-14:27,30/5/25,,,,,,,,3,2,"Andrew, Audrey, Fatemeh",
WN2 Total,13:57-14:27,30/5/25,,,,,,,,3,2,"Andrew, Audrey, Fatemeh",
WT3,15:43:00,30/5/25,16,0,,26.1,33.2,0.6,,3,2,"Andrew, Audrey, Fatemeh",
WT3,15:53:00,30/5/25,23,0,,25.7,33,1.6,,3,2,"Andrew, Audrey, Fatemeh",
WT3,16:03:00,30/5/25,21,0,,26.3,34.6,0.1,,3,2,"Andrew, Audrey, Fatemeh",
WT3 Mean,15:33-16:03,30/5/25,,,,,,,,3,2,"Andrew, Audrey, Fatemeh",
WT3 Total,15:33-16:03,30/5/25,,,,,,,,3,2,"Andrew, Audrey, Fatemeh",
WN3,16:38:00,30/5/25,21,0,,25.2,32.8,3,,3,2,"Andrew, Audrey, Fatemeh",
WN3,16:48:00,30/5/25,30,2,,25.9,33,1.9,,3,2,"Andrew, Audrey, Fatemeh",
WN3 ,16:58:00,30/5/25,24,0,,25.2,33.7,0.2,,3,2,"Andrew, Audrey, Fatemeh",
WN3 Mean,16:28-16:58,30/5/25,,,,,,,,3,2,"Andrew, Audrey, Fatemeh",
WN3 Total,16:28-16:58,30/5/25,,,,,,,,3,2,"Andrew, Audrey, Fatemeh",
DP2,13:47:00,2/6/25,,,,21.1,29.5,0,,2,2,"Audrey, Nevadha",
DP2,13:57:00,2/6/25,,,,20.5,32.8,0.1,,2,2,"Audrey, Nevadha",
DP2,14:07:00,2/6/25,,,,20.7,34.2,0.4,,2,2,"Audrey, Nevadha",
DP2 Mean,13:37-14:07,2/6/25,,,,,,,,2,2,"Audrey, Nevadha",
DP2 Total,13:37-14:07,2/6/25,,,,,,,,2,2,"Audrey, Nevadha",
WN2,10:02:00,3/6/25,52,1,,20.6,29.2,0.8,,3,2,"Andrew, Audrey, Nevadha",
WN2,10:12:00,3/6/25,39,1,,20.4,37.4,2.4,,3,2,"Andrew, Audrey, Nevadha",
WN2,10:22:00,3/6/25,41,0,,20.4,38.1,1.8,,3,2,"Andrew, Audrey, Nevadha",
WN2 Mean,09:52-10:22,3/6/25,,,,,,,,3,2,"Andrew, Audrey, Nevadha",
WN2 Total,09:52-10:22,3/6/25,,,,,,,,3,2,"Andrew, Audrey, Nevadha",
WT2,10:49:00,3/6/25,24,1,,21.6,37.5,2.9,,3,2,"Andrew, Audrey, Nevadha",
WT2,10:59:00,3/6/25,41,1,,20.9,36.3,2,,3,2,"Andrew, Audrey, Nevadha",
WT2,11:09:00,3/6/25,46,0,,21.5,37,1.3,,3,2,"Andrew, Audrey, Nevadha",
WT2 Mean,10:39-11:09,3/6/25,,,,,,,,3,2,"Andrew, Audrey, Nevadha",
WT2 Total,10:39-11:09,3/6/25,,,,,,,,3,2,"Andrew, Audrey, Nevadha",
WT1,12:21:00,3/6/25,6,0,,23.2,41.9,1.8,,3,2,"Andrew, Audrey, Nevadha",
